Customer Name,Employee Name,Route Name,State,Visit Day,acedns
INACTIV044,ASL1028,HISSAR,,,N
INACTIV046,,DELHI,,,N
INACTIV046,ASL1028,DELHI,,,N
INACTIV048,,Meerut,,,N
INACTIV048,ASL1028,Meerut,,,N
INACTIV049,,NOIDA,,,N
INACTIV049,ASL1028,NOIDA,,,N
INACTIV050,,BARAN,,,N
INACTIV050,ASL1028,BARAN,,,N
INACTIV052,,BHARATPUR,,,N
INACTIV052,ASL1028,BHARATPUR,,,N
INACTIV054,,BIKANER,,,N
INACTIV054,ASL1028,BIKANER,,,N
INACTIV055,,FARIDABAD,,,N
INACTIV055,ASL1028,FARIDABAD,,,N
INACTIV056,,JAIPUR,,,N
INACTIV056,ASL1028,JAIPUR,,,N
INACTIV057,ASLS075,Bhiwadi,,,Y
INACTIV057,Interns22,Bhiwadi,,,Y
INACTIV057,,CHHAPAR,,,N
INACTIV057,ASL1028,CHHAPAR,,,N
INACTIV062,,DELHI,,,N
INACTIV062,ASL1028,DELHI,,,N
INACTIV064,,RUDRAPUR,,,N
INACTIV064,ASL1028,RUDRAPUR,,,N
INACTIV067,,Bhiwadi,,,N
INACTIV067,ASL1028,Bhiwadi,,,N
INACTIV068,,Bhiwadi,,,N
INACTIV068,ASL1028,Bhiwadi,,,N
INACTIV070,,GWALIOR,,,N
INACTIV070,ASL1028,GWALIOR,,,N
INACTIV071,,SIKAR,,,N
INACTIV071,ASL1028,SIKAR,,,N
INACTIV072,,DELHI,,,N
INACTIV072,ASL1028,DELHI,,,N
INACTIV075,,DELHI,,,N
INACTIV075,ASL1028,DELHI,,,N
INACTIV076,,FARIDABAD,,,N
INACTIV076,ASL1028,FARIDABAD,,,N
INACTIV079,,DELHI,,,N
INACTIV079,ASL1028,DELHI,,,N
INACTIV080,,GHAZIABAD,,,N
INACTIV080,ASL1028,GHAZIABAD,,,N
INACTIV081,,RUDRAPUR,,,N
INACTIV081,ASL1028,RUDRAPUR,,,N
INACTIV083,,Bhiwadi,,,N
INACTIV083,ASL1028,Bhiwadi,,,N
INACTIV086,,Bhiwadi,,,N
INACTIV086,ASL1028,Bhiwadi,,,N
INACTIV087,,FARIDABAD,,,N
INACTIV087,ASL1028,FARIDABAD,,,N
INACTIV093,,Moradabad,,,N
INACTIV093,ASL1028,Moradabad,,,N
INACTIV097,,ALWAR,,,N
INACTIV097,ASL1028,ALWAR,,,N
